,0,1,2,3,4,5
60,Anthony Russo,Tony Scott,Ridley Scott,Dany Boon,Franklin J. Schaffner,
61,David Gordon Green,Taylor Hackford,Michael Radford,Maïwenn,Terence Fisher,
62,Brian Levant,Rod Daniel,Rob Marshall,Eric Lartigau,Michael Crichton,
63,Tom McCarthy,Joseph Ruben,Edward Zwick,Xavier Dolan,John Glen,
64,Peter Hedges,Roger Donaldson,Tim Burton,Hugo Gélin,Lewis Gilbert,
65,Shawn Levy,Bob Clark,Jean-Jacques Annaud,Pier Paolo Pasolini,Sam Peckinpah,
66,Michel Gondry,Harold Ramis,Peter Chelsom,James Huth,Mel Brooks,
67,Chris Wedge,Jonathan Lynn,Chris Weitz,Lisa Azuelos,Don Taylor,
68,George Clooney,David Carson,Lasse Hallström,Enzo Barboni,Michel Hazanavicius,
69,Adam Shankman,Bruce Beresford,Richard Linklater,Mario Bava,Robert Stevenson,
70,Mark Mylod,Sheldon Lettich,Anand Tucker,Aki Kaurismäki,Don Bluth,
71,Craig Gillespie,Phil Alden Robinson,Marc Forster,Luis Buñuel,Wolfgang Reitherman,
72,Colin Strause,Mikael Salomon,Harald Zwart,Luchino Visconti,Raoul Walsh,
73,David Zucker,Fred Schepisi,Edgar Wright,Vincent Paronnaud,Fritz Lang,
74,Daniel Barnz,Mick Jackson,Roger Michell,Jaco Van Dormael,Ralph Bakshi,
75,Uwe Boll,James Foley,Ryan Murphy,Eric Toledano,George Stevens,
76,Will Gluck,Martha Coolidge,Steven Soderbergh,Philippe Lacheau,Fred Zinnemann,
77,Leslye Headland,John G. Avildsen,Stephen Hopkins,Massimo Venier,Jim Sharman,
78,Adam McKay,Sylvester Stallone,Baz Luhrmann,Pascal Laugier,Alfred Hitchcock,
79,R.J. Cutler,Herbert Ross,Bernard Rose,Gérard Oury,William Wyler,
80,Wes Ball,Robert Redford,Andrew Niccol,Philippe de Chauveron,Jerry Paris,
81,Dito Montiel,George P. Cosmatos,Michael Caton-Jones,Fausto Brizzi,Ted Berman,
82,Byron Howard,Randal Kleiser,Alfonso Cuarón,Neri Parenti,Jim Henson,
83,Robert Iscove,Nick Castle,Antoine Fuqua,Jean Girault,David Lean,
84,Theodore Melfi,John Carpenter,Terrence Malick,Luc Dardenne,Mel Stuart,
85,James Mangold,Quentin Tarantino,Doug Liman,Christophe Barratier,John Lounsbery,
86,David Frankel,Phil Joanou,George Lucas,Luca Miniero,Orson Welles,
87,Peter Segal,Russell Mulcahy,Roland Joffé,Asghar Farhadi,Charles Crichton,
88,Kenny Ortega,Hal Ashby,Jim Jarmusch,Gennaro Nunziante,Cecil B. DeMille,
89,Steve Carr,Howard Zieff,Gurinder Chadha,Gabriele Mainetti,James Whale,
90,Tim Story,Andrew Davis,Julie Taymor,,Gerald Thomas,
91,Kevin Smith,Charles Shyer,Kurt Wimmer,,Clyde Geronimi,
92,Christopher Guest,Stuart Baird,Billy Ray,,Victor Fleming,
93,Ricky Gervais,Ted Demme,Rodrigo García,,David Hand,
94,John Gulager,Lawrence Kasdan,Anthony Minghella,,Hamilton Luske,
95,Todd Phillips,Mark L. Lester,Brad Anderson,,Samuel Armstrong,
96,Zach Braff,Frank Oz,Jonathan Glazer,,Chuck Jones,
97,Todd Solondz,Leonard Nimoy,Matthew Vaughn,,Tod Browning,
98,Sam Weisman,Rick Rosenthal,Shane Black,,Buster Keaton,
99,J.B. Rogers,Robert Harmon,James McTeigue,,F.W. Murnau,
100,John A. Davis,Paul Schrader,Paul McGuigan,,,
101,Jake Kasdan,Steve Rash,Gore Verbinski,,,
102,John Schultz,Wayne Wang,James Gray,,,
103,Burr Steers,John Putch,Andrew Dominik,,,
104,Jesse Dylan,Jessie Nelson,Bille August,,,
105,Nancy Meyers,Michael Mann,Justin Chadwick,,,
106,Dennie Gordon,Joel Schumacher,David Schwimmer,,,
107,Brad Silberling,Carl Franklin,Pierre Morel,,,
108,Thomas Bezucha,Dwight H. Little,Guy Ritchie,,,
109,Matthew O'Callaghan,Clive Barker,Neill Blomkamp,,,
110,Karey Kirkpatrick,Allison Anders,Werner Herzog,,,
111,Joe Nussbaum,Jan de Bont,Jim Sheridan,,,
112,Michael Lehmann,Robert De Niro,Scott Cooper,,,
113,Mark Waters,Walter Hill,Martin Campbell,,,
114,Jonathan Levine,Wolfgang Petersen,John Curran,,,
115,Phil Lord,John McTiernan,Darren Aronofsky,,,
116,Kevin Greutert,Rowdy Herrington,Neil Burger,,,
117,Kenneth Lonergan,Kevin Costner,Gary McKendry,,,
118,Michael Dowse,Gregory Hoblit,Rodrigo Cortés,,,
119,Jon Hurwitz,Andrew Bergman,Courtney Solomon,,,
120,Conrad Vernon,Chuck Russell,Alan Taylor,,,
121,Tyler Perry,Rob Cohen,Scott Waugh,,,
122,Griffin Dunne,Renny Harlin,James Bobin,,,
123,Pierre Coffin,John McNaughton,Wally Pfister,,,
124,Jay Oliva,Michael Cimino,Matt Reeves,,,
125,Joe Swanberg,David Lynch,Robert Schwentke,,,
126,Darrell Rooney,Phillip Noyce,Jalmari Helander,,,
127,Paul Thomas Anderson,Simon West,David Yates,,,
128,Colin Trevorrow,Nick Cassavetes,Afonso Poyart,,,
129,Jim Kammerud,Gary Fleder,Scott Mann,,,
130,Ethan Spaulding,Paul Verhoeven,Harmony Korine,,,
131,Glenn Ficarra,Roland Emmerich,James DeMonaco,,,
132,Paul Tibbitt,Rupert Wainwright,Pablo Larraín,,,
133,Gil Kenan,Steven Lisberger,Nikolaj Arcel,,,
134,Tim Johnson,Danny Cannon,Nicholas Hytner,,,
135,William Lau,Andrei Konchalovsky,P.J. Hogan,,,
136,Kyle Balda,Irwin Winkler,Shekhar Kapur,,,
137,Michael Bay,Martin Brest,Randall Wallace,,,
138,John Singleton,Ron Shelton,Thomas Vinterberg,,,
